locus	gene
10	ENSG00000115705
10	ENSG00000223751
10	ENSG00000227713
10	ENSG00000228613
10	ENSG00000228799
10	ENSG00000231173
10	ENSG00000233296
10	ENSG00000233553
10	ENSG00000233633
10	ENSG00000233970
10	ENSG00000234796
10	ENSG00000235779
10	ENSG00000236665
10	ENSG00000272342
11	ENSG00000224095
11	ENSG00000227680
11	ENSG00000231626
11	ENSG00000232597
11	ENSG00000234389
11	ENSG00000236109
11	ENSG00000236785
12	ENSG00000224095
12	ENSG00000227680
12	ENSG00000231626
12	ENSG00000232597
12	ENSG00000234389
12	ENSG00000236109
12	ENSG00000236785
13	ENSG00000235491
13	ENSG00000235774
13	ENSG00000236655
14	ENSG00000177261
14	ENSG00000197585
14	ENSG00000207274
14	ENSG00000216721
14	ENSG00000223373
14	ENSG00000227769
14	ENSG00000236193
14	ENSG00000237571
15	ENSG00000177261
15	ENSG00000197585
15	ENSG00000207274
15	ENSG00000216721
15	ENSG00000223373
15	ENSG00000227769
15	ENSG00000236193
15	ENSG00000237571
16	ENSG00000144452
16	ENSG00000177261
16	ENSG00000197585
16	ENSG00000207274
16	ENSG00000216721
16	ENSG00000227769
16	ENSG00000227824
16	ENSG00000236193
16	ENSG00000237571
17	ENSG00000189229
17	ENSG00000223719
17	ENSG00000226022
17	ENSG00000226258
17	ENSG00000229642
17	ENSG00000230944
17	ENSG00000241227
18	ENSG00000223351
18	ENSG00000229468
18	ENSG00000231304
18	ENSG00000232953
18	ENSG00000237485
18	ENSG00000261734
19	ENSG00000145040
19	ENSG00000230698
19	ENSG00000235120
19	ENSG00000236768
19	ENSG00000240959
19	ENSG00000264706
19	ENSG00000270538
1	ENSG00000164007
1	ENSG00000171872
1	ENSG00000197273
1	ENSG00000200913
1	ENSG00000202444
1	ENSG00000228776
1	ENSG00000229372
1	ENSG00000229444
1	ENSG00000233674
1	ENSG00000234093
1	ENSG00000271329
20	ENSG00000145040
20	ENSG00000230698
20	ENSG00000235120
20	ENSG00000236768
20	ENSG00000240959
20	ENSG00000264706
20	ENSG00000270538
21	ENSG00000145040
21	ENSG00000230698
21	ENSG00000235120
21	ENSG00000236768
21	ENSG00000240959
21	ENSG00000264706
21	ENSG00000270538
22	ENSG00000114638
22	ENSG00000240254
23	ENSG00000114638
23	ENSG00000240254
24	ENSG00000206629
24	ENSG00000236562
24	ENSG00000248328
24	ENSG00000249351
24	ENSG00000251527
24	ENSG00000272304
25	ENSG00000207322
25	ENSG00000248456
25	ENSG00000249311
25	ENSG00000251388
25	ENSG00000254535
26	ENSG00000207322
26	ENSG00000248456
26	ENSG00000249311
26	ENSG00000251388
26	ENSG00000254535
27	ENSG00000016082
27	ENSG00000248891
27	ENSG00000248918
27	ENSG00000249338
27	ENSG00000250360
27	ENSG00000251573
27	ENSG00000259663
28	ENSG00000206958
28	ENSG00000207129
28	ENSG00000245864
28	ENSG00000249265
29	ENSG00000206958
29	ENSG00000207129
29	ENSG00000245864
29	ENSG00000249265
2	ENSG00000164007
2	ENSG00000171872
2	ENSG00000197273
2	ENSG00000200913
2	ENSG00000202444
2	ENSG00000228776
2	ENSG00000229372
2	ENSG00000229444
2	ENSG00000233674
2	ENSG00000234093
2	ENSG00000271329
30	ENSG00000206958
30	ENSG00000207129
30	ENSG00000245864
30	ENSG00000249265
31	ENSG00000226926
31	ENSG00000239808
31	ENSG00000248757
31	ENSG00000251026
31	ENSG00000251574
31	ENSG00000253584
32	ENSG00000091010
32	ENSG00000201423
32	ENSG00000225869
32	ENSG00000239317
32	ENSG00000239602
32	ENSG00000249229
33	ENSG00000124564
33	ENSG00000146039
33	ENSG00000146047
33	ENSG00000158553
33	ENSG00000182477
33	ENSG00000187763
33	ENSG00000216331
33	ENSG00000217315
33	ENSG00000217408
33	ENSG00000218346
33	ENSG00000218690
33	ENSG00000220517
33	ENSG00000220581
33	ENSG00000220721
33	ENSG00000220758
33	ENSG00000235733
33	ENSG00000242387
33	ENSG00000243307
33	ENSG00000244618
33	ENSG00000270666
34	ENSG00000124564
34	ENSG00000146039
34	ENSG00000146047
34	ENSG00000158553
34	ENSG00000182477
34	ENSG00000187763
34	ENSG00000216331
34	ENSG00000217315
34	ENSG00000217408
34	ENSG00000218346
34	ENSG00000218690
34	ENSG00000220517
34	ENSG00000220581
34	ENSG00000220721
34	ENSG00000220758
34	ENSG00000242387
34	ENSG00000243307
34	ENSG00000244618
34	ENSG00000270666
35	ENSG00000008197
35	ENSG00000096006
35	ENSG00000226707
35	ENSG00000226733
35	ENSG00000230204
35	ENSG00000240641
36	ENSG00000112499
36	ENSG00000206910
36	ENSG00000207392
36	ENSG00000216480
36	ENSG00000224478
36	ENSG00000226032
36	ENSG00000233682
36	ENSG00000233893
36	ENSG00000237927
36	ENSG00000243831
36	ENSG00000251988
37	ENSG00000217514
37	ENSG00000217557
37	ENSG00000226739
37	ENSG00000227913
37	ENSG00000230627
37	ENSG00000235538
37	ENSG00000260422
37	ENSG00000266128
38	ENSG00000164855
38	ENSG00000201794
38	ENSG00000205971
38	ENSG00000225146
38	ENSG00000226291
38	ENSG00000228334
38	ENSG00000230914
38	ENSG00000231357
38	ENSG00000236734
38	ENSG00000240093
38	ENSG00000271098
39	ENSG00000164855
39	ENSG00000201794
39	ENSG00000205971
39	ENSG00000225146
39	ENSG00000226291
39	ENSG00000228334
39	ENSG00000230914
39	ENSG00000231357
39	ENSG00000236081
39	ENSG00000236708
39	ENSG00000236734
39	ENSG00000271098
3	ENSG00000164007
3	ENSG00000171872
3	ENSG00000197273
3	ENSG00000200913
3	ENSG00000202444
3	ENSG00000228776
3	ENSG00000229372
3	ENSG00000229444
3	ENSG00000233674
3	ENSG00000234093
3	ENSG00000271329
40	ENSG00000201794
40	ENSG00000217455
40	ENSG00000218823
40	ENSG00000228334
40	ENSG00000230914
40	ENSG00000231357
40	ENSG00000236081
40	ENSG00000236510
40	ENSG00000236708
40	ENSG00000270822
40	ENSG00000271098
40	ENSG00000271163
41	ENSG00000226978
41	ENSG00000232756
41	ENSG00000235751
41	ENSG00000237815
41	ENSG00000250990
42	ENSG00000243345
42	ENSG00000244565
42	ENSG00000270997
43	ENSG00000243345
43	ENSG00000244565
43	ENSG00000270997
44	ENSG00000171060
44	ENSG00000183638
44	ENSG00000184647
44	ENSG00000205882
44	ENSG00000205884
44	ENSG00000206014
44	ENSG00000236827
44	ENSG00000239315
44	ENSG00000249889
44	ENSG00000253252
44	ENSG00000253343
44	ENSG00000254091
44	ENSG00000254153
44	ENSG00000254235
44	ENSG00000254237
44	ENSG00000254774
44	ENSG00000255394
44	ENSG00000258724
44	ENSG00000263616
45	ENSG00000206144
45	ENSG00000244107
45	ENSG00000244159
45	ENSG00000253664
45	ENSG00000253668
45	ENSG00000253924
45	ENSG00000254225
45	ENSG00000254687
46	ENSG00000233778
46	ENSG00000248858
46	ENSG00000251234
46	ENSG00000253177
46	ENSG00000253371
46	ENSG00000253634
46	ENSG00000253749
46	ENSG00000253901
46	ENSG00000254057
46	ENSG00000268080
46	ENSG00000271202
47	ENSG00000126233
47	ENSG00000160882
47	ENSG00000197353
47	ENSG00000226807
47	ENSG00000244998
47	ENSG00000253574
47	ENSG00000253595
47	ENSG00000253602
47	ENSG00000253605
47	ENSG00000253715
47	ENSG00000254183
47	ENSG00000254197
48	ENSG00000147869
48	ENSG00000223568
48	ENSG00000223672
48	ENSG00000232000
48	ENSG00000234297
48	ENSG00000234586
48	ENSG00000240613
49	ENSG00000108242
49	ENSG00000165841
49	ENSG00000187553
49	ENSG00000213432
49	ENSG00000225118
49	ENSG00000225354
49	ENSG00000226425
49	ENSG00000227995
49	ENSG00000228553
49	ENSG00000230338
49	ENSG00000231575
49	ENSG00000235746
4	ENSG00000164007
4	ENSG00000171872
4	ENSG00000197273
4	ENSG00000200913
4	ENSG00000202444
4	ENSG00000228776
4	ENSG00000229372
4	ENSG00000229444
4	ENSG00000233674
4	ENSG00000234093
4	ENSG00000271329
50	ENSG00000212413
50	ENSG00000221767
50	ENSG00000226387
50	ENSG00000228261
50	ENSG00000229775
50	ENSG00000266754
51	ENSG00000212413
51	ENSG00000221767
51	ENSG00000226387
51	ENSG00000228261
51	ENSG00000229775
51	ENSG00000266754
52	ENSG00000121621
52	ENSG00000248990
52	ENSG00000249867
52	ENSG00000254530
52	ENSG00000255029
52	ENSG00000255094
52	ENSG00000255450
52	ENSG00000255496
52	ENSG00000272882
53	ENSG00000166856
53	ENSG00000222210
53	ENSG00000241423
53	ENSG00000242990
53	ENSG00000257230
53	ENSG00000257259
53	ENSG00000257288
53	ENSG00000257342
53	ENSG00000257449
53	ENSG00000257541
53	ENSG00000257668
53	ENSG00000258001
53	ENSG00000258231
53	ENSG00000258679
53	ENSG00000259125
54	ENSG00000226982
54	ENSG00000257480
54	ENSG00000257725
54	ENSG00000257820
54	ENSG00000258216
55	ENSG00000201161
55	ENSG00000204398
55	ENSG00000224821
55	ENSG00000225239
55	ENSG00000225760
55	ENSG00000225870
55	ENSG00000227105
55	ENSG00000227352
55	ENSG00000231428
55	ENSG00000232814
55	ENSG00000234854
55	ENSG00000236053
55	ENSG00000265885
56	ENSG00000134489
56	ENSG00000242216
56	ENSG00000263553
56	ENSG00000264193
56	ENSG00000264695
56	ENSG00000264745
56	ENSG00000265259
56	ENSG00000265485
56	ENSG00000266181
56	ENSG00000266520
56	ENSG00000266809
56	ENSG00000267301
57	ENSG00000215457
57	ENSG00000260433
57	ENSG00000263438
57	ENSG00000264263
57	ENSG00000266335
58	ENSG00000225417
58	ENSG00000228604
58	ENSG00000229500
58	ENSG00000233492
59	ENSG00000225417
59	ENSG00000228604
59	ENSG00000229500
59	ENSG00000233492
5	ENSG00000226128
5	ENSG00000232542
5	ENSG00000237435
5	ENSG00000237954
60	ENSG00000225417
60	ENSG00000228604
60	ENSG00000229500
60	ENSG00000233492
61	ENSG00000125823
61	ENSG00000170373
61	ENSG00000200231
61	ENSG00000213882
61	ENSG00000228593
61	ENSG00000232200
61	ENSG00000236151
6	ENSG00000226128
6	ENSG00000232542
6	ENSG00000237435
6	ENSG00000237954
7	ENSG00000226128
7	ENSG00000232542
7	ENSG00000237435
7	ENSG00000237954
8	ENSG00000224445
8	ENSG00000226053
8	ENSG00000226128
8	ENSG00000232542
9	ENSG00000212538
9	ENSG00000225719
9	ENSG00000227941
9	ENSG00000228289
9	ENSG00000232892
9	ENSG00000243173
